,group,name,stripes_acc,hexos_acc,acc,trial,task
7,predinet-tcn,trial = 2,0.993399977684021,0.9922000169754028,0.99099999666214,2,1task_between
8,predinet-tcn,trial = 1,0.989799976348877,0.9976000189781188,0.9980000257492064,1,1task_between
9,predinet-tcn,trial = 0,0.989199995994568,0.9941999912261964,0.9929999709129332,0,1task_between
10,corelnet-tcn,trial = 4,0.9940000176429749,0.9995999932289124,1.0,4,1task_between
11,corelnet-tcn,trial = 3,0.9994000196456908,0.9995999932289124,1.0,3,1task_between
12,corelnet-tcn,trial = 2,0.9986000061035156,0.9980000257492064,0.9990000128746032,2,1task_between
13,corelnet-tcn,trial = 1,0.989799976348877,0.9987999796867372,1.0,1,1task_between
14,corelnet-tcn,trial = 0,0.9994000196456908,1.0,1.0,0,1task_between
15,relconvnet-tcn,trial = 4,0.9824000000953674,0.9962000250816344,1.0,4,1task_between
16,relconvnet-tcn,trial = 3,0.9660000205039978,0.9965999722480774,1.0,3,1task_between
17,relconvnet-tcn,trial = 2,0.9890000224113464,0.9976000189781188,1.0,2,1task_between
18,relconvnet-tcn,trial = 1,0.9980000257492064,0.9977999925613404,1.0,1,1task_between
19,relconvnet-tcn,trial = 0,0.9850000143051147,0.9968000054359436,1.0,0,1task_between
20,transformer,trial = 3,0.9851999878883362,0.9932000041007996,0.996999979019165,3,1task_between
21,transformer,trial = 4,0.9697999954223632,0.9879999756813048,0.9919999837875366,4,1task_between
22,transformer,trial = 2,0.9527999758720398,0.9901999831199646,0.9929999709129332,2,1task_between
23,transformer,trial = 1,0.967199981212616,0.9793999791145324,0.9950000047683716,1,1task_between
24,predinet,trial = 4,0.975000023841858,0.9833999872207642,0.99099999666214,4,1task_between
25,predinet,trial = 3,0.971400022506714,0.9801999926567078,0.99099999666214,3,1task_between
26,predinet,trial = 2,0.9718000292778016,0.9873999953269958,0.9900000095367432,2,1task_between
27,predinet,trial = 1,0.9552000164985656,0.9556000232696532,0.9660000205039978,1,1task_between
28,corelnet,trial = 4,0.5324000120162964,0.9972000122070312,1.0,4,1task_between
29,corelnet,trial = 3,0.8307999968528748,0.9995999932289124,1.0,3,1task_between
30,corelnet,trial = 2,0.5012000203132629,0.9937999844551086,1.0,2,1task_between
31,corelnet,trial = 1,0.5440000295639038,0.992799997329712,1.0,1,1task_between
32,relconvnet,trial = 3,0.9900000095367432,0.9919999837875366,1.0,3,1task_between
33,relconvnet,trial = 2,0.9829999804496764,0.9929999709129332,1.0,2,1task_between
34,relconvnet,trial = 1,0.9851999878883362,0.9908000230789183,1.0,1,1task_between
35,relconvnet,trial = 4,0.9940000176429749,0.9883999824523926,1.0,4,1task_between
36,transformer,trial = 0,0.9283999800682068,0.9793999791145324,0.9879999756813048,0,1task_between
37,predinet,trial = 0,0.8769999742507935,0.981599986553192,0.9950000047683716,0,1task_between
38,corelnet,trial = 0,0.5012000203132629,0.9940000176429749,1.0,0,1task_between
39,relconvnet,trial = 0,0.9869999885559082,0.9901999831199646,1.0,0,1task_between
40,transformer-l2-w_obj_selection,trial = 0,,,,0,1task_between
41,transformer-w_obj_selection,trial = 0,,,,0,1task_between
42,predinet-tcn-w_obj_selection,trial = 0,,,,0,1task_between
