group,name,epoch/epoch,epoch/loss,acc,_timestamp,epoch/acc,epoch/val_acc,_step,epoch/learning_rate,_wandb,epoch/val_loss,loss,_runtime,trial
gin,gin (trial = 3),99,0.06636940687894821,0.5859053730964661,1705880436.3402383,0.9766314029693604,0.5913065671920776,100,0.0010000000474974513,{'runtime': 51},2.588283061981201,2.6251277923583984,51.86826729774475,3
gin,gin (trial = 2),99,0.035661641508340836,0.599022626876831,1705880420.2392964,0.9892526268959044,0.6046810746192932,100,0.0010000000474974513,{'runtime': 42},2.8646018505096436,2.764845848083496,42.3847074508667,2
gin,gin (trial = 1),99,0.08767835050821304,0.5913065671920776,1705880286.420024,0.9674272537231444,0.596707820892334,100,0.0010000000474974513,{'runtime': 51},2.437363862991333,2.5097036361694336,51.90459084510803,1
gin,gin (trial = 0),99,0.0019247304880991576,0.581532895565033,1705880269.9800658,0.9998897910118104,0.5941358208656311,100,0.0010000000474974513,{'runtime': 42},3.385140180587769,3.5707414150238037,42.48510193824768,0
gat,gat (trial = 9),99,0.6722013354301453,0.5018004179000854,1705880145.8352785,0.5609017014503479,0.4945987761020661,100,0.0010000000474974513,{'runtime': 61},0.6998522281646729,0.6973789930343628,61.890411376953125,9
gat,gat (trial = 8),99,0.6755374670028687,0.4969135820865631,1705880125.574993,0.5532958507537842,0.49434155225753784,100,0.0010000000474974513,{'runtime': 46},0.6951677799224854,0.6999942064285278,47.10879158973694,8
gat,gat (trial = 7),99,0.6739755868911743,0.5169752836227417,1705880001.0587466,0.5596891641616821,0.4855967164039612,100,0.0010000000474974513,{'runtime': 63},0.6947011351585388,0.6889392137527466,63.58580660820007,7
gat,gat (trial = 6),99,0.6693102121353149,0.4938271641731262,1705879844.8907292,0.5700507164001465,0.5187757015228271,100,0.0010000000474974513,{'runtime': 61},0.6904787421226501,0.6963139176368713,61.74970722198486,6
gat,gat (trial = 5),99,0.672486424446106,0.4963991641998291,1705879827.243896,0.5542327761650085,0.4835391044616699,100,0.0010000000474974513,{'runtime': 46},0.7044898271560669,0.7002876400947571,47.077555894851685,5
gat,gat (trial = 4),99,0.6755504012107849,0.5182613134384155,1705879694.3052895,0.5481702089309692,0.5015432238578796,100,0.0010000000474974513,{'runtime': 61},0.699400782585144,0.692806601524353,61.998921394348145,4
gat,gat (trial = 3),99,0.6703815460205078,0.5131173133850098,1705879672.8975792,0.5669642686843872,0.48868313431739807,100,0.0010000000474974513,{'runtime': 46},0.7011206150054932,0.6972150206565857,47.0533332824707,3
