,conv [PC1],conv [PC2],SET
489,28.569822,2.3695145,not set
490,12.772539,10.636784,not set
491,-7.8998237,0.65559673,not set
492,11.936797,0.4939805,not set
493,27.294912,-7.962874,not set
494,32.092125,1.3731006,not set
495,19.169128,10.734088,not set
496,23.419659,2.3817425,not set
497,31.404697,-3.81939,not set
498,0.66423786,21.373463,not set
499,26.153606,-5.0737076,not set
500,13.9552355,-10.8147135,not set
501,34.680862,-13.946921,not set
502,6.8756604,-1.3178554,not set
503,9.161637,-3.6328325,not set
504,10.854222,13.713104,not set
505,10.195901,8.260169,not set
506,23.008465,-1.8665144,not set
507,28.16042,14.687077,not set
508,33.114357,1.0006181,not set
509,17.77311,-5.352822,not set
510,16.840384,-3.8376298,not set
511,36.999043,4.240344,not set
512,11.134936,21.958794,not set
513,31.684118,-3.7616568,not set
514,6.1983705,17.405222,not set
515,26.717882,12.182809,not set
516,56.097256,-8.801382,not set
517,-2.3580678,0.40532595,not set
518,62.662437,-4.0891137,not set
519,13.100006,-7.765576,not set
520,60.924576,1.4564672,not set
521,18.221395,8.322594,not set
522,7.5333533,-5.732929,not set
523,3.283917,17.478739,not set
524,78.522224,7.7888484,not set
525,5.0491734,-4.5009465,not set
526,37.12311,-13.610055,not set
527,22.062822,-10.404887,not set
528,30.949524,7.902247,not set
529,56.482365,-6.1850557,not set
530,4.5653567,10.472193,not set
531,5.587428,10.097844,not set
532,29.093262,-0.5994705,not set
533,50.542816,3.4698575,not set
534,19.291594,15.732539,not set
535,28.364601,-5.1617312,not set
536,24.152493,-3.4412317,not set
537,41.394173,6.9492908,not set
538,21.536644,1.7108074,not set
539,24.587301,-7.1959114,not set
540,-1.0291114,3.3506935,not set
541,41.631557,-1.4299831,not set
542,1.1270278,-2.9842937,not set
543,15.694246,15.388015,not set
544,23.506956,-11.648975,not set
545,27.415293,-7.379275,not set
546,28.600487,-4.6786294,not set
547,37.432056,7.62214,not set
548,29.924128,8.151123,not set
549,17.359632,16.8287,not set
550,-3.9931962,-0.82350147,not set
551,-3.0838351,17.578506,not set
552,19.559116,-4.380534,not set
553,62.612705,-1.4165326,not set
554,42.765446,13.702584,not set
555,17.563105,-8.717925,not set
556,40.92314,-1.8395467,not set
557,30.305439,1.4775714,not set
558,22.39153,15.713297,not set
559,-1.1423476,-2.422561,not set
560,4.8342752,3.679826,not set
561,-6.4012356,-11.042697,not set
562,54.18904,2.709987,not set
563,7.406146,-7.8987813,not set
564,7.4153957,11.68163,not set
565,9.429236,-1.9906586,not set
566,14.475336,6.094757,not set
567,7.4292264,-3.835258,not set
568,32.93527,-2.7949765,not set
569,-3.5637589,-2.1239543,not set
570,19.940847,7.752655,not set
571,17.04544,-3.9804618,not set
572,28.401161,24.15826,not set
573,12.025259,8.498211,not set
574,-1.2580196,12.664264,not set
575,3.9658844,-10.078456,not set
576,1.3472781,-5.7422667,not set
577,-4.316123,3.3791618,not set
578,23.197664,4.6572323,not set
579,18.550117,15.108687,not set
580,14.745104,0.45525074,not set
581,34.24559,-5.1431646,not set
582,52.1047,7.411999,not set
583,49.68911,-2.1673102,not set
584,26.64235,-2.8705306,not set
585,50.865932,-2.397625,not set
586,64.46976,0.45878932,not set
587,37.36664,-2.5762568,not set
588,35.736267,-11.787214,not set
589,-0.37297088,7.5505214,not set
590,12.612929,-8.754519,not set
591,14.940721,-6.570247,not set
592,1.4053116,-14.063886,not set
593,-7.6249504,1.7327536,not set
594,24.486204,8.227025,not set
595,31.303453,-4.3915296,not set
596,7.967002,24.532665,not set
597,3.8804712,11.578411,not set
598,28.684345,-3.1736832,not set
599,35.27622,21.027039,not set
600,20.291882,-1.7275379,not set
601,52.88839,-11.936082,not set
602,33.508877,-2.571061,not set
603,69.00547,-9.644533,not set
604,27.014103,12.098589,not set
605,17.216164,5.289525,not set
606,53.041836,3.4818096,not set
607,16.249077,-1.7477859,not set
608,12.176568,17.374525,not set
609,33.583572,0.9354355,not set
610,30.003824,13.689693,not set
611,3.3240242,-0.90605026,not set
612,1.4066329,-4.0682936,not set
613,0.6435356,30.507948,not set
614,43.217213,-4.909336,not set
615,36.258656,6.40628,not set
616,-4.8812723,11.448073,not set
617,51.17341,4.206726,not set
618,76.96063,13.088545,not set
619,2.8938622,0.9623808,not set
620,14.769525,8.816298,not set
621,35.566357,7.2964015,not set
622,47.20022,-0.9999712,not set
623,24.909763,-2.241167,not set
624,11.163236,2.2108417,not set
625,56.21036,5.5538573,not set
626,4.9935336,-14.54131,not set
627,51.82347,-15.991096,not set
628,6.909808,13.350625,not set
629,40.318745,-7.504728,not set
630,38.400024,15.743212,not set
631,41.363655,-4.3613772,not set
632,21.342876,7.8150563,not set
633,35.188705,-1.7586001,not set
634,21.775967,-6.7574487,not set
635,25.407454,15.653446,not set
636,40.19986,2.2759721,not set
637,21.351994,-11.477151,not set
638,32.014595,1.2987727,not set
639,46.357994,5.1440377,not set
640,33.816025,5.4007215,not set
641,35.682602,-8.365416,not set
642,12.680442,19.170479,not set
643,46.698914,13.408741,not set
644,1.54932,19.510445,not set
645,3.3842769,-16.57986,not set
646,36.594612,0.62141556,not set
647,5.217529,21.393238,not set
648,42.628483,26.75148,not set
649,47.199383,-18.769846,not set
650,19.18036,3.597137,not set
651,25.001331,-5.4588995,not set
652,30.28597,1.5765659,not set
653,4.932257,0.51927245,not set
654,6.881472,-1.3071079,not set
655,22.582895,-16.249622,not set
656,24.16324,12.897655,not set
657,30.456675,2.5088665,not set
658,34.493668,9.256209,not set
659,38.254787,1.175054,not set
660,36.14808,-4.877252,not set
661,42.200512,-1.4901503,not set
662,26.504278,11.068121,not set
663,8.271043,22.11294,not set
664,38.29606,0.56562597,not set
665,12.694217,10.806469,not set
666,29.160086,-6.2822814,not set
667,22.482948,-0.22267489,not set
668,48.484665,-0.98165643,not set
669,19.970703,6.659752,not set
670,38.841946,-10.769328,not set
671,9.501892,17.058056,not set
672,-2.3005364,11.816885,not set
673,15.477273,-10.711522,not set
674,5.9549294,5.683748,not set
675,6.4110136,1.49527,not set
676,13.881307,-12.686363,not set
677,8.371271,2.3967354,not set
678,46.55327,3.4640496,not set
679,15.038672,-7.9857974,not set
680,27.634203,8.353648,not set
681,0.051194895,-13.926936,not set
682,25.71468,3.788675,not set
683,10.397754,4.0240846,not set
684,31.643782,-2.563409,not set
685,14.591906,7.1404195,not set
686,46.40864,-3.5324438,not set
687,3.0273967,15.897976,not set
688,36.56311,-3.189705,not set
689,-5.18372,4.5541425,not set
690,13.9535265,-8.396463,not set
691,37.40026,4.566858,not set
692,51.393204,-6.972363,not set
693,14.914873,11.128286,not set
694,45.282978,0.8517981,not set
695,58.348534,-3.6912115,not set
696,-7.4089746,23.723375,not set
697,19.908228,-1.1724135,not set
698,19.688215,3.2308664,not set
699,69.70374,-2.026924,not set
700,44.96306,-4.1810217,not set
701,38.446533,-4.0737247,not set
702,43.262844,4.701396,not set
703,34.55972,4.623456,not set
704,23.377352,7.536146,not set
705,32.8977,-6.579591,not set
706,29.446205,1.2428076,not set
707,35.025646,-8.519655,not set
708,18.674717,14.357223,not set
709,13.815069,-13.221159,not set
710,9.780913,-16.591898,not set
711,25.63397,1.655011,not set
712,0.53522843,0.10619091,not set
713,19.685545,-5.3527884,not set
714,61.479374,-2.5349002,not set
715,34.506996,-3.358626,not set
716,5.539116,18.900219,not set
717,70.93469,9.394652,not set
718,39.447742,-0.8854311,not set
719,40.108494,2.1449988,not set
720,10.518217,-11.159383,not set
721,24.217777,-8.581059,not set
722,1.2765152,4.032826,not set
723,24.315756,-19.840443,not set
724,25.006855,-4.3933096,not set
725,30.938417,2.8878405,not set
726,31.964283,-17.152815,not set
727,27.142782,-4.2908807,not set
728,59.583233,-3.634768,not set
729,66.06754,19.30099,not set
730,29.324444,2.1342237,not set
731,39.336796,-8.130173,not set
732,-0.021039706,-8.768746,not set
733,16.21461,4.308814,not set
734,16.425697,0.4856219,not set
735,47.246128,28.040648,not set
736,24.572157,-9.429131,not set
737,7.8795676,-3.7795215,not set
738,10.027996,11.352128,not set
739,15.224059,-8.649022,not set
740,4.519587,10.032434,not set
741,5.580229,15.089148,not set
742,15.108517,5.93571,not set
743,65.20518,-6.5808234,not set
744,25.098923,-10.507761,not set
745,15.393482,-9.526133,not set
746,59.173336,3.1728184,not set
747,29.235376,-13.388046,not set
748,29.261566,-13.109901,not set
749,39.92942,-4.073149,not set
750,10.972326,9.467017,not set
751,4.0501328,-8.400244,not set
752,22.268028,2.5934308,not set
753,18.670969,-5.7897835,not set
754,-1.0736991,-9.732005,not set
755,27.977804,5.736144,not set
756,0.49635735,-11.31247,not set
757,8.915014,-3.8194776,not set
758,2.260097,6.262323,not set
759,21.528967,-3.8187237,not set
760,55.16116,2.4483397,not set
761,47.41511,-1.340713,not set
762,12.006693,-1.0431447,not set
763,21.04605,6.186399,not set
764,5.443623,-13.436793,not set
765,30.291346,-4.4158654,not set
766,49.13704,7.189253,not set
767,62.275337,-5.179046,not set
768,38.62851,21.529436,not set
769,58.26735,-5.9726067,not set
770,12.664631,2.0829508,not set
771,16.438517,-2.4272428,not set
772,22.107777,3.638904,not set
773,54.2875,-16.467058,not set
774,26.430605,1.295226,not set
775,68.55134,13.35459,not set
776,36.04706,17.54158,not set
777,63.135555,6.382497,not set
778,7.1466594,-5.3976035,not set
779,10.4396715,-3.3178244,not set
780,46.55997,5.528199,not set
781,58.92429,-5.93735,not set
782,38.11503,1.1677896,not set
783,35.95854,5.022853,not set
784,15.826047,4.1822214,not set
785,35.06398,-4.972991,not set
786,-7.6088595,25.460165,not set
787,22.415949,14.307302,not set
788,63.999523,-4.4928875,not set
789,16.220724,-0.712524,not set
790,12.11154,5.46887,not set
791,55.09935,-2.7676113,not set
792,14.811766,-14.532216,not set
793,38.095814,-2.8716872,not set
794,4.791792,8.617422,not set
795,3.7816608,14.788792,not set
796,16.007504,8.447331,not set
797,-6.504139,-3.9448223,not set
798,26.538256,9.908964,not set
799,-5.2171755,14.58507,not set
800,3.494803,-6.1516767,not set
801,29.263424,-4.845335,not set
802,33.90151,6.380641,not set
803,14.294239,-21.12281,not set
804,3.2733884,-0.07576169,not set
805,55.723927,-13.697737,not set
806,36.675186,3.8209019,not set
807,8.806035,-2.9962585,not set
808,30.896034,-8.049886,not set
809,10.221879,3.7608857,not set
810,31.686016,0.4832268,not set
811,16.167238,6.5559754,not set
812,37.30022,-3.6392677,not set
813,31.851799,-13.736473,not set
814,25.307228,4.410379,not set
815,42.39674,-0.48992223,not set
816,22.834085,0.19705574,not set
817,41.83069,-12.723914,not set
818,14.110949,-3.0671997,not set
819,20.403597,5.485997,not set
820,25.917503,7.1346684,not set
821,25.645763,7.00098,not set
822,19.675522,-2.889732,not set
823,12.049865,37.899506,not set
824,28.217215,5.529448,not set
825,-5.5150185,22.26328,not set
826,-4.564471,6.8079324,not set
827,32.58192,-0.028493507,not set
828,22.606184,-13.139639,not set
829,26.23453,-10.316533,not set
830,30.560587,18.461702,not set
831,67.02115,1.9890605,not set
832,7.088909,-0.07169514,not set
833,51.72126,1.487583,not set
834,12.736969,22.06435,not set
835,8.115059,-6.615003,not set
836,61.406075,-4.5110207,not set
837,37.46707,-4.2296605,not set
838,21.857046,-9.84551,not set
839,28.214178,5.7328873,not set
840,18.907595,-4.6308694,not set
841,16.607891,6.925564,not set
842,32.22388,14.135236,not set
843,24.263021,2.8768399,not set
844,45.16222,2.5487618,not set
845,-2.4944017,-10.897694,not set
846,64.08878,7.367678,not set
847,27.945625,17.045189,not set
848,20.98051,14.00595,not set
849,26.486984,-4.4210277,not set
850,13.577139,10.71955,not set
851,-1.9727023,1.7866027,not set
852,14.2222395,-1.2677397,not set
853,17.331234,-3.9936454,not set
854,1.7085828,-11.098595,not set
855,14.843441,-15.72435,not set
856,44.06121,-8.118953,not set
857,8.322904,-2.7697673,not set
858,-4.769967,2.366428,not set
859,32.211666,4.7363706,not set
860,35.402775,9.695666,not set
861,19.894846,13.408798,not set
