,group,name,stripes_acc,hexos_acc,acc,trial,task
1,cnn,trial = 2,0.5062000155448914,0.5008000135421753,0.4984000027179718,2,xoccurs
2,cnn,trial = 3,0.5062000155448914,0.5008000135421753,0.4984000027179718,3,xoccurs
3,cnn,trial = 1,0.5062000155448914,0.5008000135421753,0.4984000027179718,1,xoccurs
4,cnn,trial = 0,0.9254000186920166,0.9833999872207642,0.9919999837875366,0,xoccurs
5,relnet,trial = 4,0.9675999879837036,0.99099999666214,0.9955999851226808,4,xoccurs
6,relnet,trial = 0,0.8628000020980835,0.9405999779701232,0.9765999913215636,0,xoccurs
7,relnet,trial = 3,0.9976000189781188,0.9987999796867372,0.9991999864578248,3,xoccurs
8,relnet,trial = 2,0.8140000104904175,0.8474000096321106,0.8339999914169312,2,xoccurs
9,relnet,trial = 1,0.967199981212616,0.9836000204086304,0.9919999837875366,1,xoccurs
10,gin,trial = 4,0.5062000155448914,0.5008000135421753,0.4984000027179718,4,xoccurs
11,gin,trial = 1,0.5062000155448914,0.5008000135421753,0.4984000027179718,1,xoccurs
12,gin,trial = 3,0.5062000155448914,0.5008000135421753,0.4984000027179718,3,xoccurs
13,gin,trial = 2,0.5062000155448914,0.5008000135421753,0.4984000027179718,2,xoccurs
14,gin,trial = 0,0.5062000155448914,0.5008000135421753,0.4984000027179718,0,xoccurs
15,gat,trial = 4,0.5062000155448914,0.5008000135421753,0.4984000027179718,4,xoccurs
16,gat,trial = 3,0.5062000155448914,0.5008000135421753,0.4984000027179718,3,xoccurs
17,gat,trial = 0,0.5062000155448914,0.5008000135421753,0.4984000027179718,0,xoccurs
18,gat,trial = 1,0.5062000155448914,0.5008000135421753,0.4984000027179718,1,xoccurs
19,gat,trial = 2,0.5062000155448914,0.5008000135421753,0.4984000027179718,2,xoccurs
20,gcn,trial = 0,0.5062000155448914,0.5008000135421753,0.4984000027179718,0,xoccurs
21,gcn,trial = 3,0.5062000155448914,0.5008000135421753,0.4984000027179718,3,xoccurs
22,gcn,trial = 2,0.5062000155448914,0.5008000135421753,0.4984000027179718,2,xoccurs
23,gcn,trial = 1,0.5062000155448914,0.5008000135421753,0.4984000027179718,1,xoccurs
24,gcn,trial = 4,0.5062000155448914,0.5008000135421753,0.4984000027179718,4,xoccurs
25,relconvnet_groupattn,trial = 4,0.6258000135421753,0.8434000015258789,0.9735999703407288,4,xoccurs
26,relconvnet_groupattn,trial = 3,0.7233999967575073,0.7648000121116638,0.9864000082015992,3,xoccurs
27,relconvnet_groupattn,trial = 2,0.7554000020027161,0.8646000027656555,0.9955999851226808,2,xoccurs
28,relconvnet_groupattn,trial = 1,0.6615999937057495,0.8519999980926514,0.9936000108718872,1,xoccurs
29,relconvnet_groupattn,trial = 0,0.5906000137329102,0.7613999843597412,0.9890000224113464,0,xoccurs
30,abstractor,trial = 4,0.9825999736785888,0.993399977684021,0.993399977684021,4,xoccurs
31,abstractor,trial = 3,0.914799988269806,0.9319999814033508,0.9369999766349792,3,xoccurs
32,abstractor,trial = 2,0.9818000197410583,0.9896000027656556,0.9954000115394592,2,xoccurs
33,abstractor,trial = 0,0.9747999906539916,0.9901999831199646,0.9911999702453612,0,xoccurs
34,abstractor,trial = 1,0.984000027179718,0.9968000054359436,0.9972000122070312,1,xoccurs
35,contextgroup_relconvnet,trial = 4,0.9251999855041504,0.9575999975204468,0.991599977016449,4,xoccurs
36,contextgroup_relconvnet,trial = 3,0.7947999835014343,0.8610000014305115,0.9247999787330629,3,xoccurs
37,contextgroup_relconvnet,trial = 2,0.9700000286102296,0.972599983215332,0.9911999702453612,2,xoccurs
38,contextgroup_relconvnet,trial = 1,0.9178000092506408,0.9563999772071838,0.9811999797821044,1,xoccurs
39,contextgroup_relconvnet,trial = 0,0.895799994468689,0.9611999988555908,0.9965999722480774,0,xoccurs
40,tempgroup_relconvnet,trial = 4,0.9524000287055968,0.9667999744415284,1.0,4,xoccurs
41,tempgroup_relconvnet,trial = 3,0.9595999717712402,0.97079998254776,1.0,3,xoccurs
42,tempgroup_relconvnet,trial = 2,0.9251999855041504,0.968999981880188,1.0,2,xoccurs
43,tempgroup_relconvnet,trial = 1,0.8971999883651733,0.9383999705314636,0.9950000047683716,1,xoccurs
44,tempgroup_relconvnet,trial = 0,0.9603999853134156,0.9718000292778016,1.0,0,xoccurs
45,featuregroup_relconvnet,trial = 1,0.5062000155448914,0.5008000135421753,0.4828000068664551,1,xoccurs
46,featuregroup_relconvnet,trial = 2,0.5062000155448914,0.5008000135421753,0.5005999803543091,2,xoccurs
47,featuregroup_relconvnet,trial = 0,0.9408000111579896,0.930400013923645,0.975600004196167,0,xoccurs
48,featuregroup_relconvnet,trial = 3,0.9629999995231628,0.9703999757766724,0.9965999722480774,3,xoccurs
49,featuregroup_relconvnet,trial = 4,0.8518000245094299,0.8989999890327454,0.9480000138282776,4,xoccurs
50,transformer,trial = 4,0.7310000061988831,0.8632000088691711,0.9200000166893004,4,xoccurs
51,transformer,trial = 2,0.6496000289916992,0.902999997138977,0.9390000104904176,2,xoccurs
52,transformer,trial = 3,0.8396000266075134,0.8880000114440918,0.9319999814033508,3,xoccurs
